Title,Price,Reduction,Rooms,Bathrooms,Meters,Province
"Apartamento con terraza en Carrer de Garbí, Santa Cristina d'Aro ",225.000 €,-,3 habs.,2 baños,74 m²,girona
"Dúplex con terraza en Carrer Sant Miquel, Girona Capital ",320.000 €,-,4 habs.,3 baños,130 m²,girona
"Dúplex con ascensor en Carrer de Barcelona, Girona Capital ",239.000 €, 19.000 €,3 habs.,2 baños,132 m²,girona
"Casa o chalet con piscina en Carrer del Robí, Calonge ",1.495.000 €,-,4 habs.,3 baños,264 m²,girona
"Casa adosada con piscina en Central Esglesia, Ger ",770.000 €, 25.000 €,5 habs.,4 baños,240 m²,girona
"Apartamento con piscina en Carretera Sant Feliu a S'agaró, Sant Feliu de Guíxols ",290.000 €,-,2 habs.,1 baño,72 m²,girona
"Ático con terraza en Carrer Riu Segre, Girona Capital ",295.760 €, 13.240 €,3 habs.,1 baño,93 m²,girona
"Apartamento con piscina en De Besalu a Roses, Roses ",154.900 €,-,1 hab.,1 baño,53 m²,girona
"Casa adosada en Rutlla, 204, Girona Capital ",495.000 €,-,4 habs.,3 baños,155 m²,girona
"Ático con terraza en Carrer de Joan Goula, Sant Feliu de Guíxols ",450.000 €,-,3 habs.,3 baños,162 m²,girona
"Apartamento con terraza en Passeig del Mar, Sant Feliu de Guíxols ",585.000 €,-,3 habs.,3 baños,93 m²,girona
"Casa o chalet con piscina en Lloret de Mar, Lloret de Mar ",2.500.000 €,-,6 habs.,8 baños,894 m²,girona
"Casa o chalet con piscina en Carrer de L'anoia, Calonge ",450.000 €,-,4 habs.,3 baños,345 m²,girona
"Apartamento con terraza en Carrer Camèlies, Castell-Platja d'Aro ",199.000 €,-,2 habs.,1 baño,48 m²,girona
Dúplex con terraza en Girona Capital ,380.000 €,-,4 habs.,3 baños,146 m²,girona
"Piso en Santiago, 22, Girona Capital ",247.000 €,-,3 habs.,2 baños,92 m²,girona
"Piso en Venecia, 11, Lloret de Mar ",165.000 €,-,3 habs.,2 baños,113 m²,girona
"Piso con terraza en Travessia Cavall Bernat, Castell-Platja d'Aro ",299.000 €, 61.000 €,3 habs.,4 baños,72 m²,girona
"Planta baja con terraza en Carretera de Sant Feliu a Sant Pol Per la Costa, Sant Feliu de Guíxols ",475.000 €,-,2 habs.,1 baño,82 m²,girona
"Casa o chalet con piscina en Avinguda de la Manxa, Calonge ",380.000 €,-,4 habs.,3 baños,111 m²,girona
Ático con terraza en Girona Capital ,450.000 €,-,2 habs.,2 baños,132 m²,girona
"Apartamento con terraza en Carrer de Roma, Castell-Platja d'Aro ",338.000 €,-,3 habs.,2 baños,89 m²,girona
"Piso en Frederic Mistral, 2, Lloret de Mar ",149.000 €,-,3 habs.,1 baño,80 m²,girona
"Planta baja en Carrer de Fontanals, 2, Fontanals de Cerdanya ",570.000 €,-,3 habs.,2 baños,127 m²,girona
"Piso en Carrer de Santiago, 22, Girona Capital ",172.500 €,-,2 habs.,2 baños,67 m²,girona
